Compound,Symmetry Group,ICSD IDs,Optical Raman Active Modes
Bi1 Te1,164 (P-3m1),"100654, 617181, 30525, 617175",6A1g + 6Eg
Bi2 Te3,166 (R-3m),"617192, 658764, 672291, 617187, 74348, 193330, 193331, 42546, 193334, 184631, 193335, 193332, 44983, 193333, 617182, 193338, 193339, 193336, 193337, 158366, 193340, 617174",2A1g + 2Eg
Bi3 S1 Te2,164 (P-3m1),107587,6A1g + 6Eg
Bi2 Ge1 Te4,166 (R-3m),"658633, 30394",3A1g + 3Eg
Bi2 Pb1 Te4,166 (R-3m),616936,3A1g + 3Eg
Bi2 Pb2 Te5,164 (P-3m1),42708,4A1g + 4Eg
Bi2 Se1 Te2,166 (R-3m),43512,2A1g + 2Eg
Bi2 Se2 Te1,166 (R-3m),54838,2A1g + 2Eg
Bi2 Sn1 Te4,166 (R-3m),672415,NA
Bi4 Ge1 Te7,164 (P-3m1),42891,5A1g + 5Eg
Bi4 Pb1 Te7,164 (P-3m1),"42753, 42707, 250249",8A1g + 8Eg
Bi4 Sn1 Te7,164 (P-3m1),236253,5A1g + 5Eg
Bi14 S8 Te13,148 (R-3),159356,NA
Bi6 Pb1 Te10,166 (R-3m),95551,8A1g + 8Eg
Bi1 I1 O3 Te1,129 (P4/nmm),92318,18A1g + 9B1g + 18B2g + 27Eg
